Entity,Code,Date,people_fully_vaccinated_per_hundred
Federated States of Micronesia,,2/25/2021,2.91
Federated States of Micronesia,,2/26/2021,3.29
Federated States of Micronesia,,2/27/2021,3.6
Federated States of Micronesia,,2/28/2021,3.96
Federated States of Micronesia,,3/1/2021,4.25
Federated States of Micronesia,,3/2/2021,4.75
Federated States of Micronesia,,3/3/2021,5.13
Federated States of Micronesia,,3/4/2021,5.46
Federated States of Micronesia,,3/5/2021,5.77
Federated States of Micronesia,,3/6/2021,6.12
Federated States of Micronesia,,3/7/2021,6.17
Federated States of Micronesia,,3/8/2021,6.2
Federated States of Micronesia,,3/9/2021,6.44
Federated States of Micronesia,,3/10/2021,6.62
Federated States of Micronesia,,3/11/2021,6.77
Federated States of Micronesia,,3/12/2021,7.01
Federated States of Micronesia,,3/13/2021,7.2
Federated States of Micronesia,,3/14/2021,7.25
Florida,,1/12/2021,0.19
Florida,,1/13/2021,0.25
Florida,,1/15/2021,0.35
Florida,,1/19/2021,0.48
Florida,,1/20/2021,0.52
Florida,,1/21/2021,0.52
Florida,,1/22/2021,0.58
Florida,,1/23/2021,0.71
Florida,,1/24/2021,0.73
Florida,,1/25/2021,0.73
Florida,,1/26/2021,0.74
Florida,,1/27/2021,0.82
Florida,,1/28/2021,0.95
Florida,,1/29/2021,1.1
Florida,,1/30/2021,1.28
Florida,,1/31/2021,1.39
Florida,,2/1/2021,1.47
Florida,,2/2/2021,1.53
Florida,,2/3/2021,1.74
Florida,,2/4/2021,1.97
Florida,,2/5/2021,2.05
Florida,,2/6/2021,2.38
Florida,,2/7/2021,2.93
Florida,,2/8/2021,2.93
Florida,,2/9/2021,3.23
Florida,,2/10/2021,3.52
Florida,,2/11/2021,3.83
Florida,,2/12/2021,4.48
Florida,,2/13/2021,4.79
Florida,,2/14/2021,5.04
Florida,,2/16/2021,5.28
Florida,,2/17/2021,5.5
Florida,,2/18/2021,5.73
Florida,,2/19/2021,6.42
Florida,,2/20/2021,6.44
Florida,,2/21/2021,6.9
Florida,,2/22/2021,6.9
Florida,,2/23/2021,6.95
Florida,,2/24/2021,7.15
Florida,,2/25/2021,7.41
Florida,,2/26/2021,7.64
Florida,,2/27/2021,7.88
Florida,,2/28/2021,8.32
Florida,,3/1/2021,8.32
Florida,,3/2/2021,8.38
Florida,,3/3/2021,8.54
Florida,,3/4/2021,8.78
Florida,,3/5/2021,8.99
Florida,,3/6/2021,9.34
Florida,,3/7/2021,9.66
Florida,,3/8/2021,9.57
Florida,,3/9/2021,9.66
Florida,,3/10/2021,9.83
Florida,,3/11/2021,10.15
Florida,,3/12/2021,10.44
Florida,,3/13/2021,11.17
Florida,,3/14/2021,11.39
Georgia,GEO,1/12/2021,0.07
Georgia,GEO,1/13/2021,0.08
Georgia,GEO,1/15/2021,0.21
Georgia,GEO,1/19/2021,0.27
Georgia,GEO,1/20/2021,0.33
Georgia,GEO,1/21/2021,0.38
Georgia,GEO,1/22/2021,0.56
Georgia,GEO,1/23/2021,0.56
Georgia,GEO,1/24/2021,0.56
Georgia,GEO,1/25/2021,0.56
Georgia,GEO,1/26/2021,0.61
Georgia,GEO,1/27/2021,0.71
Georgia,GEO,1/28/2021,0.84
Georgia,GEO,1/29/2021,0.94
Georgia,GEO,1/30/2021,1.03
Georgia,GEO,1/31/2021,1.13
Georgia,GEO,2/1/2021,1.18
Georgia,GEO,2/2/2021,1.22
Georgia,GEO,2/3/2021,1.33
Georgia,GEO,2/4/2021,1.44
